id,nombre
5002,ABEJORRAL
54003,ÁBREGO
5004,ABRIAQUÍ
50006,ACACÍAS
27006,ACANDÍ
41006,ACEVEDO
13006,ACHÍ
41013,AGRADO
25001,AGUA DE DIOS
20011,AGUACHICA
68013,AGUADA
17013,AGUADAS
85010,AGUAZUL
20013,AGUSTÍN CODAZZI
41016,AIPE
25019,ALBÁN (Cundinamarca)
52019,ALBÁN (Nariño)
18029,ALBANIA (Caquetá)
44035,ALBANIA (La Guajira)
68020,ALBANIA (Santander)
76020,ALCALÁ
52022,ALDANA
5021,ALEJANDRÍA
47030,ALGARROBO
41020,ALGECIRAS
19022,ALMAGUER
15022,ALMEIDA
73024,ALPUJARRA
41026,ALTAMIRA
27025,ALTO BAUDÓ
13030,ALTOS DEL ROSARIO
73026,ALVARADO
5030,AMAGÁ
5031,AMALFI
73030,AMBALEMA
25035,ANAPOIMA
52036,ANCUYÁ
76036,ANDALUCÍA
5034,ANDES
5036,ANGELÓPOLIS
5038,ANGOSTURA
25040,ANOLAIMA
5040,ANORÍ
17042,ANSERMA
76041,ANSERMANUEVO
5044,ANZÁ
73043,ANZOÁTEGUI
5045,APARTADÓ
66045,APÍA
25599,APULO
15047,AQUITANIA
47053,ARACATACA
17050,ARANZAZU
68051,ARATOCA
81001,ARAUCA
81065,ARAUQUITA
25053,ARBELÁEZ
52051,ARBOLEDA
54051,ARBOLEDAS
5051,ARBOLETES
15051,ARCABUCO
13042,ARENAL
5055,ARGELIA (Antioquia)
19050,ARGELIA (Cauca)
76054,ARGELIA (Valle del Cauca)
47058,ARIGUANÍ
13052,ARJONA
5059,ARMENIA (Antioquia)
63001,ARMENIA (Quindio)
73055,ARMERO GUAYABAL
13062,ARROYOHONDO
20032,ASTREA
73067,ATACO
27050,ATRATO
23068,AYAPEL
27073,BAGADÓ
27075,BAHÍA SOLANO
27077,BAJO BAUDÓ
19075,BALBOA (Cauca)
66075,BALBOA (Risaralda)
8078,BARANOA
41078,BARAYA
52079,BARBACOAS
5079,BARBOSA (Antioquia)
68077,BARBOSA (Santander)
68079,BARICHARA
50110,BARRANCA DE UPÍA
68081,BARRANCABERMEJA
44078,BARRANCAS
13074,BARRANCO DE LOBA
94343,BARRANCO MINAS
8001,BARRANQUILLA
20045,BECERRIL
17088,BELALCÁZAR
15087,BELÉN (Boyacá)
52083,BELÉN (Nariño)
18094,BELÉN DE LOS ANDAQUÍES
66088,BELÉN DE UMBRÍA
5088,BELLO
5086,BELMIRA
25086,BELTRÁN
15090,BERBEO
5091,BETANIA
15092,BETÉITIVA
5093,BETULIA (Antioquia)
68092,BETULIA (Santander)
25095,BITUIMA
15097,BOAVITA
54099,BOCHALEMA
11001,"BOGOTÁ, D.C."
25099,BOJACÁ
27099,BOJAYÁ
19100,BOLÍVAR (Cauca)
68101,BOLÍVAR (Santander)
76100,BOLÍVAR (Valle del Cauca)
20060,BOSCONIA
15104,BOYACÁ
5107,BRICEÑO (Antioquia)
15106,BRICEÑO (Boyacá)
68001,BUCARAMANGA
54109,BUCARASICA
76109,BUENAVENTURA
15109,BUENAVISTA (Boyacá)
23079,BUENAVISTA (Córdoba)
63111,BUENAVISTA (Quindio)
70110,BUENAVISTA (Sucre)
19110,BUENOS AIRES
52110,BUESACO
76113,BUGALAGRANDE
5113,BURITICÁ
15114,BUSBANZÁ
25120,CABRERA (Cundinamarca)
68121,CABRERA (Santander)
50124,CABUYARO
94886,CACAHUAL
5120,CÁCERES
25123,CACHIPAY
54128,CÁCHIRA
54125,CÁCOTA
5125,CAICEDO
76122,CAICEDONIA
70124,CAIMITO
73124,CAJAMARCA
19130,CAJIBÍO
25126,CAJICÁ
13140,CALAMAR (Bolívar)
95015,CALAMAR (Guaviare)
63130,CALARCÁ
5129,CALDAS (Antioquia)
15131,CALDAS (Boyacá)
19137,CALDONO
76001,CALI
68132,CALIFORNIA
76126,CALIMA
19142,CALOTO
5134,CAMPAMENTO
8137,CAMPO DE LA CRUZ
41132,CAMPOALEGRE
15135,CAMPOHERMOSO
23090,CANALETE
5138,CAÑASGORDAS
8141,CANDELARIA (Atlántico)
76130,CANDELARIA (Valle del Cauca)
13160,CANTAGALLO
25148,CAPARRAPÍ
68147,CAPITANEJO
25151,CÁQUEZA
5142,CARACOLÍ
5145,CARAMANTA
68152,CARCASÍ
5147,CAREPA
73148,CARMEN DE APICALÁ
25154,CARMEN DE CARUPA
27150,CARMEN DEL DARIÉN
5150,CAROLINA
13001,CARTAGENA DE INDIAS
18150,CARTAGENA DEL CHAIRÁ
76147,CARTAGO
97161,CARURÚ
73152,CASABIANCA
50150,CASTILLA LA NUEVA
5154,CAUCASIA
68160,CEPITÁ
23162,CERETÉ
15162,CERINZA
68162,CERRITO
47161,CERRO DE SAN ANTONIO
27160,CÉRTEGUI
52240,CHACHAGÜÍ
25168,CHAGUANÍ
70230,CHALÁN
85015,CHÁMEZA
73168,CHAPARRAL
68167,CHARALÁ
68169,CHARTA
25175,CHÍA
5172,CHIGORODÓ
68176,CHIMA
23168,CHIMÁ
20175,CHIMICHAGUA
54172,CHINÁCOTA
15172,CHINAVITA
17174,CHINCHINÁ
23182,CHINÚ
25178,CHIPAQUE
68179,CHIPATÁ
15176,CHIQUINQUIRÁ
15232,CHÍQUIZA
20178,CHIRIGUANÁ
15180,CHISCAS
15183,CHITA
54174,CHITAGÁ
15185,CHITARAQUE
15187,CHIVATÁ
47170,CHIVOLO
15236,CHIVOR
25181,CHOACHÍ
25183,CHOCONTÁ
13188,CICUCO
47189,CIÉNAGA
23189,CIÉNAGA DE ORO
15189,CIÉNEGA
68190,CIMITARRA
63190,CIRCASIA
5190,CISNEROS
5101,CIUDAD BOLÍVAR
13222,CLEMENCIA
5197,COCORNÁ
73200,COELLO
25200,COGUA
41206,COLOMBIA
52203,COLÓN (Nariño)
86219,COLÓN (Putumayo)
70204,COLOSÓ
15204,CÓMBITA
5206,CONCEPCIÓN (Antioquia)
68207,CONCEPCIÓN (Santander)
5209,CONCORDIA (Antioquia)
47205,CONCORDIA (Magdalena)
27205,CONDOTO
68209,CONFINES
52207,CONSACÁ
52210,CONTADERO
68211,CONTRATACIÓN
54206,CONVENCIÓN
5212,COPACABANA
15212,COPER
13212,CÓRDOBA (Bolívar)
52215,CÓRDOBA (Nariño)
63212,CÓRDOBA (Quindio)
19212,CORINTO
68217,COROMORO
70215,COROZAL
15215,CORRALES
25214,COTA
23300,COTORRA
15218,COVARACHÍA
70221,COVEÑAS
73217,COYAIMA
